POS,#,Name,Inf,ORG,Age,B,T,OVR,CON,BABIP,GAP,POW,EYE,K's,CON vL,POW vL,CON vR,POW vR,BUN,BFH,STU,CON,PBABIP,HRR,PIT,STM,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,STE,DEF,G,PA,AB,AVG,OBP,SLG,wOBA,OPS,OPS+,BABIP,WPA,wRC,wRC+,wRAA,WAR,G,BB,K,ERA,AVG,OBP,SLG,OPS,BABIP,WHIP,HR/9,H/9,BB/9,K/9,ERA+,FIP,WAR,SIERA,POS,G,EFF,SLR,SctAcc
SP,32,Roberto Alba,,Chicago White Sox,16,R,R,0.5 Stars,1,1,1,1,1,1,1,1,1,1,29,8,8,1,34,1,5,48,1,1,4,23,10,39,11,64,49,61,13,1,42,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,-,Very High
SP,7,David Alcantara,,St. Louis Cardinals,16,R,R,0.5 Stars,1,1,1,1,1,1,1,1,1,1,75,4,5,1,37,1,4,74,2,1,3,15,12,51,6,49,42,48,17,2,37,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,-,Very High
SP,43,Raul Alcantara,,-,33,R,R,1.5 Stars,8,12,1,1,13,1,8,1,8,1,43,33,22,53,46,34,5,57,1,1,1,15,46,43,29,3,3,3,12,5,72,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,Free agent,Very High
SP,22,Sandy Alcantara,,Philadelphia Phillies,31,R,R,3.5 Stars,11,14,1,1,12,9,11,1,11,1,39,4,42,70,57,72,4,67,1,1,1,22,25,64,23,7,19,20,16,17,64,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,33,46,178,3.36,.249,.296,.387,.684,.296,1.17,0.9,8.6,2.0,7.6,118,3.38,4.6,3.61,1,33,.951,$17 300 000,Very High
SP,0,Alexis Alcazar,,-,20,L,L,0.5 Stars,1,3,1,1,5,1,1,1,1,1,53,11,9,1,51,1,3,31,3,3,2,20,15,43,18,15,19,27,25,13,34,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,Free agent,Very High
SP,6,Nelson Alcocer,,Athletics,18,L,R,0.5 Stars,1,1,1,1,1,1,1,1,1,1,69,4,11,1,36,1,3,60,13,8,12,28,17,39,17,40,32,41,14,9,56,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,-,Very High
SP,40,Cesar Alderete,,Toronto Blue Jays,16,R,R,0.5 Stars,1,1,1,1,1,1,1,1,1,1,43,13,10,3,39,3,3,61,4,1,3,17,13,51,15,53,41,48,9,3,41,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,-,Very High
SP,83,Nick Allgeyer,,-,30,L,L,2.0 Stars,1,1,1,1,1,6,1,1,1,1,23,1,34,38,58,48,3,55,2,2,5,44,17,52,3,42,8,1,11,8,76,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,Free agent,Very High
SP,28,Joseph Alonzo,,Cincinnati Reds,16,R,R,0.5 Stars,1,1,1,1,1,1,1,1,1,1,29,11,1,1,31,1,4,76,1,4,2,13,24,27,4,50,31,39,2,2,40,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,-,Very High
SP,16,Orlando Alvarado,,Minnesota Twins,17,R,R,0.5 Stars,1,1,1,1,1,1,1,1,1,1,24,9,11,1,31,4,3,62,2,4,3,22,15,20,4,60,41,40,9,1,41,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,-,Very High
SP,3,Jose Alvarenga,,Pittsburgh Pirates,16,R,R,0.5 Stars,1,1,1,1,1,1,1,1,1,1,94,2,1,1,35,3,4,52,4,3,1,17,16,65,5,55,50,62,11,2,47,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,-,Very High
SP,4,Andreas Alvarez,,-,20,R,R,1.0 Stars,1,1,1,1,1,1,1,1,1,1,44,23,14,10,41,1,4,52,1,1,1,34,28,40,28,42,37,46,36,30,57,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,Free agent,Very High
SP,8,Carlos Alvarez,,San Diego Padres,17,S,R,0.5 Stars,1,5,1,1,1,1,1,1,1,1,45,3,1,1,29,1,3,62,6,9,13,15,18,43,17,51,39,57,2,2,42,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,-,Very High
SP,73,Adbert Alzolay,,Milwaukee Brewers,31,R,R,2.5 Stars,10,3,1,1,1,13,10,1,10,1,48,27,44,54,62,44,4,28,1,2,2,9,13,51,19,6,16,28,12,14,32,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,36,41,105,4.94,.256,.322,.401,.723,.293,1.32,1.1,9.0,2.9,7.5,80,4.23,1.1,4.01,1,36,1.030,$740 000,Very High
SP,28,Ricardo Amaya,,San Diego Padres,16,R,R,0.5 Stars,1,1,1,1,1,1,1,1,1,1,96,9,1,1,29,1,4,53,2,1,4,21,17,35,4,46,32,45,11,3,45,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,-,Very High
SP,48,Chase Anderson,,-,38,R,R,1.5 Stars,1,1,1,1,1,1,1,1,1,1,41,31,23,41,43,39,5,41,-,-,-,9,43,37,9,-,-,-,18,29,57,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,Free agent,Very High
SP,13,Tag Andrews,,-,21,R,R,0.5 Stars,5,1,1,1,1,10,6,1,4,1,38,16,9,1,52,1,4,58,1,1,1,27,31,26,29,54,57,56,52,51,50,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,Free agent,Very High
SP,17,Cameron Appenzeller,,-,19,L,L,1.5 Stars,1,1,1,1,1,7,1,1,1,1,19,50,21,11,48,17,4,46,1,1,1,20,24,24,16,22,23,29,19,12,37,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,Free agent,Very High
SP,10,Erick Arauza,,Tampa Bay Rays,16,L,R,1.0 Stars,1,1,1,1,1,1,1,1,1,1,29,10,1,2,46,16,3,83,14,7,7,28,20,45,39,44,44,45,14,2,63,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,-,Very High
SP,19,Alexis Arellano,,Arizona Diamondbacks,17,L,L,0.5 Stars,1,1,1,1,1,1,1,1,1,1,35,11,1,1,28,1,3,53,6,11,5,11,13,41,3,32,31,44,2,1,30,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,-,Very High
SP,17,Juan Arellano,,Pittsburgh Pirates,17,R,R,0.5 Stars,1,1,1,1,1,1,1,1,1,1,80,11,10,1,36,1,3,85,1,1,4,20,16,44,7,45,41,46,8,3,46,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,-,Very High
SP,18,Ronny Arevalo,,Miami Marlins,17,L,R,0.5 Stars,1,1,1,1,1,1,1,1,1,1,35,2,16,1,38,1,3,59,3,4,3,10,12,34,7,56,42,52,3,2,27,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,-,Very High
SP,14,R.J. Arias,,Athletics,17,L,L,0.5 Stars,1,1,1,1,1,1,1,1,1,1,81,10,10,1,34,1,3,82,1,4,3,18,10,46,3,53,37,55,8,7,37,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,-,Very High
SP,23,Beppe Aricó,,Philadelphia Phillies,17,L,L,0.5 Stars,1,1,1,1,1,1,1,1,1,1,90,6,1,1,35,1,3,70,7,7,6,13,21,32,1,26,35,34,8,2,38,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,-,Very High
SP,63,Clayton Armah,,-,19,R,R,0.5 Stars,8,9,21,1,1,8,8,1,8,1,57,32,14,1,42,1,3,53,1,1,1,25,37,53,22,25,38,37,29,36,57,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,Free agent,Very High
SP,17,Luis Arreola,,Pittsburgh Pirates,17,R,R,0.5 Stars,1,1,1,1,1,1,1,1,1,1,28,8,6,1,29,1,3,49,1,1,1,19,9,33,2,61,46,52,11,1,34,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,-,Very High
SP,28,Jordan Arriaga,,Pittsburgh Pirates,17,R,R,0.5 Stars,1,1,1,1,1,1,1,1,1,1,90,2,1,1,29,1,4,61,4,4,1,18,25,43,18,33,33,44,9,7,54,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,-,Very High
SP,35,Spencer Arrighetti,,Houston Astros,26,R,R,2.5 Stars,10,1,16,1,12,15,11,1,10,1,35,10,58,42,60,46,5,54,1,1,3,19,24,35,9,8,20,17,6,3,50,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,39,59,158,3.65,.216,.300,.347,.647,.275,1.19,0.9,7.1,3.6,9.6,107,3.57,2.5,3.36,1,39,.824,$740 000,Very High
SP,26,Aaron Ashby,,Milwaukee Brewers,28,R,L,2.5 Stars,3,3,1,1,1,3,4,1,3,1,48,22,48,31,51,59,5,46,1,1,4,33,37,51,10,2,1,1,18,20,79,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,19,55,99,3.17,.227,.330,.349,.679,.287,1.37,0.6,7.5,4.8,8.7,125,3.73,1.7,4.14,1,19,.902,$5 700 000,Very High
SP,18,Ryan Ashford,,-,21,L,L,0.5 Stars,1,1,1,1,1,3,1,1,1,1,29,23,10,1,52,1,3,51,2,2,3,21,25,50,20,9,19,32,22,15,44,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,Free agent,Very High
SP,3,Aaron Astorga,,-,16,R,L,0.5 Stars,1,1,1,1,1,1,1,1,1,1,45,1,12,1,44,1,3,75,4,3,3,18,26,59,4,40,33,51,6,4,57,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,Free agent,Very High
SP,31,Tyler Avery,,-,22,R,R,0.5 Stars,5,4,8,1,1,6,6,1,4,1,42,7,13,1,41,1,3,62,3,3,1,28,34,51,20,31,42,49,26,14,57,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,Free agent,Very High
SP,46,Jordan Aviles,,Toronto Blue Jays,17,L,L,0.5 Stars,1,1,1,1,1,1,1,1,1,1,71,4,11,1,32,1,3,56,7,7,13,12,19,23,3,46,26,36,16,11,34,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,-,Very High
SP,22,Brian Babcock,,-,16,R,L,0.5 Stars,1,1,1,1,1,1,1,1,1,1,71,7,1,2,34,7,4,57,1,1,2,11,8,32,3,34,30,37,10,6,23,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,Free agent,Very High
SP,40,Sam Bachman,,Los Angeles Angels,27,R,R,2.0 Stars,9,14,13,1,17,1,10,1,9,1,69,6,31,39,52,49,3,58,2,2,1,23,15,58,19,12,18,22,28,17,53,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,2,1,3,0.00,.222,.300,.222,.522,.333,1.29,0.0,7.7,3.9,11.6,999,1.76,0.1,2.48,1,2,.000,$740 000,Very High
SP,49,Michel Baez,,-,30,R,R,2.0 Stars,1,7,12,1,1,1,1,1,1,1,43,16,36,32,56,46,3,36,2,2,2,18,27,39,19,10,15,24,6,6,55,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,Free agent,Very High
SP,7,Smith Bailey,,-,21,R,R,0.5 Stars,1,1,1,1,1,1,1,1,1,1,63,26,15,3,50,1,3,49,1,1,1,31,30,49,11,33,27,24,29,27,56,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,Free agent,Very High
SP,17,Jeff Bain,,-,30,R,R,2.0 Stars,13,1,1,1,1,23,14,1,13,1,43,3,27,52,51,44,3,48,3,4,3,42,7,47,14,25,17,15,24,29,64,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,Free agent,Very High
SP,38,Max Bain,,-,29,R,R,1.5 Stars,2,1,1,1,1,5,2,1,1,1,44,14,35,12,55,43,3,36,1,1,1,23,33,45,13,12,16,28,11,13,50,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,Free agent,Very High
SP,17,Felipe Balbuena,,Arizona Diamondbacks,18,L,R,0.5 Stars,1,1,1,1,1,1,1,1,1,1,57,1,28,1,49,1,6,77,3,3,4,26,20,58,16,45,57,53,24,2,61,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,-,Very High
SP,20,Camilo Banha,,Detroit Tigers,16,R,R,0.5 Stars,1,1,1,1,1,1,1,1,1,1,31,7,1,1,29,1,3,55,4,4,1,12,14,19,5,39,35,33,3,1,27,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,-,Very High
SP,7,Rafael Barajas,,Arizona Diamondbacks,16,R,R,0.5 Stars,1,1,1,1,1,1,1,1,1,1,29,6,5,1,32,1,3,90,12,13,13,13,2,54,11,29,32,51,8,10,26,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,-,Very High
SP,24,Luis Barba,,Chicago Cubs,16,L,L,1.0 Stars,1,1,1,1,1,1,1,1,1,1,60,6,1,4,41,11,3,77,2,1,1,15,24,27,3,31,28,47,13,13,42,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,-,Very High
SP,24,Jackson Barberi,,-,20,R,R,1.0 Stars,1,1,4,1,1,1,1,1,1,1,50,27,16,6,49,1,3,54,1,1,1,34,26,34,20,38,26,30,46,49,54,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,Free agent,Very High
SP,9,Gabriel Barbosa,,Philadelphia Phillies,24,R,R,3.0 Stars,8,9,1,1,5,8,9,1,8,1,36,10,40,70,58,68,5,39,1,1,1,31,39,45,20,12,16,24,15,6,79,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,13,20,66,3.12,.227,.297,.353,.650,.281,1.12,0.8,7.5,2.6,8.6,127,3.40,1.5,3.42,1,13,1.288,$740 000,Very High
SP,20,Jaden Barfield,,-,20,L,L,0.5 Stars,1,1,1,1,1,1,1,1,1,1,47,20,15,11,43,1,3,43,1,1,1,29,34,36,32,5,4,4,21,22,56,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,Free agent,Very High
SP,9,Jason Baribeau,,-,18,L,R,1.5 Stars,1,1,1,1,1,1,1,1,1,1,50,9,19,13,47,15,4,66,13,7,12,23,21,48,42,55,40,51,11,1,59,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,Free agent,Very High
SP,17,Marc Barnhard,,-,20,R,R,1.0 Stars,1,1,1,1,1,1,1,1,1,1,38,34,16,3,48,2,3,60,1,1,1,37,29,52,22,35,23,23,37,29,62,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,Free agent,Very High
SP,29,Kyle Barraclough,,-,36,R,R,1.5 Stars,8,11,1,1,14,1,8,1,8,1,56,12,36,27,52,33,4,29,-,-,-,16,22,24,16,-,-,-,23,7,43,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,Free agent,Very High
SP,16,Eddie Barral,,Tampa Bay Rays,17,R,R,0.5 Stars,1,1,1,1,1,1,1,1,1,1,76,2,3,1,28,1,3,58,11,9,11,15,18,35,13,46,37,43,11,1,40,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,-,Very High
SP,20,Jaime Barria,,Miami Marlins,30,R,R,2.5 Stars,11,16,1,1,1,5,12,1,11,1,45,33,34,67,47,43,4,54,1,2,2,26,48,49,19,18,30,61,21,13,81,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,11,18,31,4.50,.261,.316,.423,.739,.268,1.32,1.4,9.2,2.7,4.7,89,4.92,0.1,4.97,1,11,.824,$2 120 000,Very High
SP,43,Sebastian Barrios,,-,22,R,R,0.5 Stars,6,10,1,1,1,1,5,1,7,1,51,17,14,1,54,1,3,33,1,1,2,24,39,46,22,9,16,24,19,13,56,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,Free agent,Very High
