//Card Title,Card ID,Card Value,Card Type,Card Sub Type,Card Badge,Card Series,Year,Peak,Team,Franchise,LastName,FirstName,NickName,Nation,UniformNumber,DayOB,MonthOB,YearOB,Bats,Throws,Position,Pitcher Role,Contact,Gap,Power,Eye,Avoid Ks,BABIP,Contact vL,Gap vL,Power vL,Eye vL,Avoid K vL,BABIP vL,Contact vR,Gap vR,Power vR,Eye vR,Avoid K vR,BABIP vR,GB Hitter Type,FB Hitter Type,BattedBallType,Speed,Steal Rate,Stealing,Baserunning,Sac bunt,Bunt for hit,Stuff,Movement,Control,pHR,pBABIP,Stuff vL,Movement vL,Control vL,pHR vL,pBABIP vL,Stuff vR,Movement vR,Control vR,pHR vR,pBABIP vR,Fastball,Slider,Curveball,Changeup,Cutter,Sinker,Splitter,Forkball,Screwball,Circlechange,Knucklecurve,Knuckleball,Stamina,Hold,GB,Velocity,Arm Slot,Height,Infield Range,Infield Error,Infield Arm,DP,CatcherAbil,CatcherFrame,Catcher Arm,OF Range,OF Error,OF Arm,Pos Rating P,Pos Rating C,Pos Rating 1B,Pos Rating 2B,Pos Rating 3B,Pos Rating SS,Pos Rating LF,Pos Rating CF,Pos Rating RF,LearnC,Learn1B,Learn2B,Learn3B,LearnSS,LearnLF,LearnCF,LearnRF,era,tier,MissionValue,limit,owned,brefid,Buy Order High,Sell Order Low,Last 10 Price,Last 10 Price(VAR),date,Unnamed: 121,PIT,SP_Rating,SP_Rating_Normalized,RP_Rating,RP_Rating_Normalized,CL_Rating,CL_Rating_Normalized
Rivalry Week - Snapshot SP Geoff Zahn CAL 1984,73511,80,7,,,Rivalry Week,1984,N,California Angels,LAA,Zahn,Geoff,,The United States,38,19,12,1945,2,2,1,11,3,2,1,2,1,1,3,2,1,2,1,1,3,3,1,2,1,1,0,1,0,10,5,6,14,45,13,38,116,105,125,100,38,119,110,130,99,38,115,104,123,100,38,0,42,57,0,54,0,0,0,0,0,0,92,121,1,0.0,4,185,35,18,25,21,0,0,0,1,4,10,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,0,0,zahnge01,4500,7777,5937,0,2025-05-15,,12,70.49396931846753,72.10398102022826,64.8732752394655,67.72009393811922,59.220925760279265,62.43053955673827
Rookie Sensation SP Pat Zachry CIN 1976,71556,88,3,,,,1976,N,Cincinnati Reds,CIN,Zachry,Pat,,The United States,40,24,4,1952,1,1,1,11,4,7,4,8,2,2,5,7,4,5,1,4,5,7,4,10,3,2,1,0,0,5,4,6,5,48,20,105,96,51,89,111,94,85,48,79,99,114,105,53,97,121,70,95,0,132,0,0,0,0,0,0,0,0,68,79,2,0.0,3,196,28,21,24,23,0,0,0,2,10,4,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,15,0,0,zachrpa01,1200,1368,1369,5980,2025-03-14,,12,65.87533712219623,67.23034419854633,61.50475263209505,64.08941948688027,61.86311034702315,65.27418633720397
Unsung Heroes 2B Ralph Young DET 1921,70497,71,8,,,,1921,N,Detroit Tigers,DET,Young,Ralph,,The United States,63,19,9,1888,3,1,4,0,87,31,16,141,104,75,76,44,9,152,101,58,95,28,19,138,105,80,0,1,0,64,61,67,60,66,43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.0,3,165,40,58,22,48,0,0,0,7,3,10,0,0,0,36,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,5,0,0,youngra01,0,333,302,1708,2025-03-14,,12,2.70189910873873,0.568964688139004,2.6357522877150457,0.6389991000141759,1.9707804582856596,0.8151656021749983
Unsung Heroes 2B Pep Young PIT 1938,70491,59,8,,,,1938,N,Pittsburgh Pirates,PIT,Young,Pep,,The United States,26,29,8,1907,1,1,4,0,67,101,33,57,69,68,64,80,48,68,84,45,70,108,29,54,65,76,0,2,0,52,31,73,65,20,8,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,33,0,0,0,0,0,0,0,0,0,0,0,1,24,2,0.0,3,175,105,66,75,101,0,0,0,9,4,6,0,0,0,117,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,youngpe01,0,59,65,1190,2025-03-14,,12,3.2950803040951007,1.1948966941454622,3.560186143203722,1.6353760795360912,2.0483890328708823,0.8986917018892395
Derek Jeter Mission - Hardware Heroes SS Michael Young TEX 2005,70319,84,9,,,Derek Jeter Mission,2005,N,Texas Rangers,TEX,Young,Michael,,The United States,10,19,10,1976,1,1,6,0,113,75,75,71,100,116,125,94,44,75,115,120,111,71,88,70,96,115,1,0,0,47,31,52,45,3,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.0,3,185,58,69,60,59,0,0,0,5,6,9,0,0,82,61,56,46,0,0,0,0,1,1,1,1,0,0,0,6,3,10,0,0,youngmi02,1820,2300,1869,7150,2025-03-14,,12,2.70189910873873,0.568964688139004,2.6357522877150457,0.6389991000141759,1.9707804582856596,0.8151656021749983
All-Time Legend SP Matt Young SEA Peak,71345,69,4,,,,1983,Y,Seattle Mariners,SEA,Young,Matt,,The United States,40,9,8,1958,2,2,1,11,13,33,24,28,13,13,13,33,22,28,12,13,14,34,25,29,14,14,2,1,0,16,5,6,28,29,9,82,71,58,75,64,111,94,61,109,66,76,65,57,67,63,72,0,111,0,0,75,0,0,0,0,0,0,53,100,1,0.0,3,191,28,13,20,19,0,0,0,1,6,9,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,youngma01,0,53,40,891,2025-03-14,,12,56.35745052879656,57.1869545985617,54.29537836890758,56.318983008436355,47.900371556383654,50.24681186545428
MLB 2025 Live RF Jared Young NYM,72325,67,1,,,,2025,N,New York Mets,NYM,Young,Jared,,Canada,3,9,7,1995,2,1,9,0,67,86,77,85,66,71,65,82,74,79,63,70,69,87,79,88,68,72,2,2,0,67,31,70,67,64,33,1,20,1,1,60,1,20,1,1,59,1,21,1,1,62,9,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0.0,3,185,44,55,53,48,1,1,4,54,60,51,0,0,13,0,0,0,12,0,50,0,1,1,1,1,1,1,1,8,1,2,0,1,youngja02,0,45,41,0,2025-03-14,,12,9.104780554026458,7.325363000568137,8.057358167147163,6.48253593959826,8.98258432176629,8.36160788394447
MLB 2025 Live CF Jacob Young WSH,72385,64,1,,,,2025,N,Washington Nationals,WSN,Young,Jacob,,The United States,1,27,7,1999,1,1,8,0,78,70,11,63,86,73,82,72,12,66,94,75,77,70,11,63,84,73,0,0,0,93,85,89,81,57,36,1,21,1,1,61,1,20,1,1,60,1,21,1,1,63,9,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0.0,3,180,48,53,47,51,3,3,3,93,84,63,0,0,0,0,0,0,0,93,0,0,1,1,1,1,1,1,1,8,1,2,0,1,youngja03,0,28,28,0,2025-03-14,,12,9.149515924525423,7.372568307167642,8.129433928588679,6.560220923824501,9.089902657044282,8.477109064342427
All-Time Legend SP Irv Young BSN Peak,71344,66,4,,,,1905,Y,Boston Beaneaters,ATL,Young,Irv,Young Cy,The United States,32,21,7,1877,2,2,1,11,11,83,10,27,6,15,8,77,6,37,7,8,12,86,12,24,6,18,0,2,0,37,9,9,29,23,11,64,64,79,67,60,68,68,83,71,62,63,63,79,66,59,64,63,87,0,0,0,0,59,0,0,0,0,76,50,2,0.0,3,178,27,28,25,22,0,0,0,2,3,7,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,youngir01,0,95,46,602,2025-03-14,,12,51.68056479417767,52.251847935286136,50.25713846514279,51.96647119376351,49.73493208866299,52.22125459642736
Rod Carew Mission - Hardware Heroes 2B Eric Young COL 1996,70331,79,9,,,Rod Carew Mission,1996,N,Colorado Rockies,COL,Young,Eric,,The United States,21,18,5,1967,1,1,4,0,114,48,34,70,150,82,99,68,50,84,148,67,118,40,30,66,150,90,2,2,0,96,92,97,101,68,90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.0,3,175,86,53,67,76,0,0,0,73,62,69,0,0,0,86,0,0,88,0,0,0,0,1,0,0,1,0,0,5,2,5,0,0,younger01,107,390,253,2462,2025-03-14,,12,2.567095726248528,0.4267185207299788,2.455856392117128,0.4451029894163108,1.8434322358889814,0.6781072889771981
MLB 2025 Live RP Danny Young NYM,72330,70,1,,,,2025,N,New York Mets,NYM,Young,Danny,,The United States,16,27,5,1994,2,2,1,12,29,11,1,21,20,38,29,11,1,21,20,38,29,12,2,22,21,39,0,0,0,20,12,2,46,76,18,99,87,56,78,106,184,124,59,108,158,79,75,56,70,87,0,99,0,0,0,90,0,0,0,0,0,0,14,65,1,0.0,2,191,29,28,44,6,2,2,3,12,23,33,68,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,2,5,0,1,youngda02,104,200,200,0,2025-03-14,,12,61.2564724779275,62.356462094912686,56.05007315300146,58.210235128399134,57.643950809666165,60.73332288092974
Perfect Game SP Cy Young BOS 1904,69560,100,7,PG,,,1904,N,Boston Americans,BOS,Young,Cy,,The United States,3,29,3,1867,1,1,1,11,67,76,64,26,71,65,72,88,74,34,77,69,65,74,61,22,69,64,2,0,0,90,59,74,88,24,2,122,123,146,125,119,127,125,148,127,122,119,121,144,124,117,90,89,134,97,0,0,0,0,97,0,0,0,108,91,2,0.0,4,188,47,50,49,41,0,0,0,7,8,3,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,200,0,0,youngcy01,175000,0,207687,0,2025-05-07,,12,95.03081460065486,97.99555834732578,90.71162801423257,95.56929022262233,87.05948903338248,92.39174712017645
MLB 2025 Live SP Brandon Young BAL,73404,57,1,,,,2025,N,Baltimore Orioles,BAL,Young,Brandon,,The United States,32,19,8,1998,1,1,1,11,17,15,3,14,22,13,17,15,3,14,22,13,17,15,3,14,22,13,2,2,0,11,13,9,11,74,9,69,71,77,71,73,65,68,76,67,72,72,75,79,75,75,79,79,82,81,0,0,0,0,0,0,0,0,54,37,4,0.0,3,198,7,38,49,5,1,1,1,8,17,11,53,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,1,0,1,young-004bra,27,147,160,0,2025-05-05,,12,56.22543715227511,57.0476524793566,53.37894082857882,55.33122464916406,52.36146532609552,55.04805663814828
Unsung Heroes SP Masato Yoshii MON 2002,70395,60,8,,,,2002,N,Montreal Expos,WSN,Yoshii,Masato,,Japan,55,20,4,1965,1,1,1,11,4,5,1,4,2,1,4,8,1,4,2,1,4,4,2,5,2,1,1,0,0,12,4,11,18,40,52,48,71,87,69,76,47,77,60,79,74,48,66,119,61,77,0,0,51,47,0,60,0,58,0,0,0,0,58,88,2,0.0,3,188,27,20,23,23,0,0,0,9,9,2,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,1,yoshima01,40,60,55,611,2025-03-14,,12,52.691835000851434,53.31895254688393,49.431264283625296,51.076324194538195,47.79198359815272,50.13015950512678
MLB 2025 Live LF Masataka Yoshida BOS,71822,69,1,,,,2025,N,Boston Red Sox,BOS,Yoshida,Masataka,,Japan,7,15,7,1993,2,1,7,0,88,89,69,64,101,77,82,85,65,60,91,76,92,91,71,66,105,78,0,0,0,36,12,16,34,49,34,1,20,1,1,60,1,20,1,1,59,1,20,1,1,60,5,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0.0,4,173,36,38,27,36,0,0,0,54,56,49,0,0,0,0,0,0,60,0,0,0,1,1,1,0,1,1,1,8,1,2,0,1,yoshima02,0,34,32,0,2025-03-14,,12,8.736575116150357,6.936828147884865,7.757417965148359,6.159253196619553,8.777726572780029,8.141130071273507
Snapshot LF Tom York BL2 1884,70944,58,7,,,,1884,N,Baltimore Orioles,NYY,York,Tom,,The United States,3,13,7,1850,2,1,7,0,54,122,32,133,68,39,51,113,31,112,63,38,55,126,33,141,70,40,2,2,0,74,90,84,64,3,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,15,2,0.0,4,175,3,3,3,5,0,0,0,50,64,54,0,0,0,0,0,0,58,0,19,0,0,0,0,0,1,0,0,0,0,1,0,1,yorkto01,19,27,28,433,2025-03-14,,12,3.020594881169337,0.9052563401753148,3.149335955986719,1.1925518946095306,1.9707804582856596,0.8151656021749983
Historical All-Star 1B Rudy York CWS 1947,71299,54,5,,,,1947,N,Chicago White Sox,CHW,York,Rudy,,The United States,3,17,8,1913,1,1,3,0,48,97,94,67,63,31,50,126,106,73,60,38,48,89,90,66,65,29,2,0,0,24,4,16,16,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,0,14,2,0,0,0,0,0,0,0,0,1,2,2,0.0,3,185,29,71,44,32,0,0,0,7,4,2,0,0,61,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,yorkru01,0,17,53,367,2025-03-14,,12,3.011642165269608,0.8958093255595586,3.161064955221299,1.2051936912732715,2.203782772033558,1.065933956004055
MLB 2025 Live SP Huascar Ynoa ATL,72255,65,1,,,,2025,N,Atlanta Braves,ATL,Ynoa,Huascar,,Dominican Republic,19,28,5,1998,1,1,1,11,23,28,2,28,26,20,24,29,2,29,27,21,23,28,2,28,26,20,0,0,0,13,14,5,19,44,21,78,77,69,76,81,74,73,68,72,75,84,83,71,80,90,106,109,0,97,0,0,0,0,0,0,0,0,51,52,3,0.0,3,191,31,20,63,15,2,2,2,10,24,28,68,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,1,2,0,1,ynoahu01,26,45,35,0,2025-03-14,,12,58.78930129855983,59.753073084013316,55.261256481225146,57.36002960189822,55.02267080500248,57.91217462226587
Unsung Heroes 2B Steve Yerkes BOS 1913,69295,55,8,,,,1913,N,Boston Red Sox,BOS,Yerkes,Steve,,The United States,75,15,5,1888,1,1,4,0,74,108,27,76,102,54,75,121,30,72,110,50,74,104,27,78,100,55,0,2,0,64,81,77,68,96,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,0,0,0,0,0,0,0,0,0,0,0,1,8,2,0.0,3,175,40,63,22,48,0,0,0,3,10,10,0,0,0,37,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,yerkest02,0,22,17,340,2025-03-14,,12,2.726443612463832,0.5948643467481345,2.7126482262529645,0.7218793867139882,1.8434322358889814,0.6781072889771981
MLB 2025 Live 1B Juan Yepez WSH,72389,62,1,,,,2025,N,Washington Nationals,WSN,Yepez,Juan,,Venezuela,13,19,2,1998,1,1,3,0,73,86,78,70,83,64,76,90,85,73,91,66,72,85,77,70,80,64,2,2,0,43,11,58,48,52,39,1,23,2,1,67,1,22,2,1,66,1,23,2,1,69,5,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.0,3,183,30,33,42,26,1,1,1,36,44,52,0,0,48,0,0,0,5,0,4,0,1,1,1,0,1,0,1,8,1,2,0,1,yepezju01,0,28,36,0,2025-03-14,,12,9.949580561564694,8.216806235000062,8.913871023277423,7.4057060371079695,10.01740089223436,9.475327502077015
MLB 2025 Live LF Christian Yelich MIL,72473,86,1,,,,2025,N,Milwaukee Brewers,MIL,Yelich,Christian,Yeli,The United States,22,5,12,1991,2,1,7,0,77,76,79,108,71,84,73,72,76,95,67,79,78,77,80,112,73,86,0,1,0,73,61,87,77,51,59,1,29,1,1,85,1,29,1,1,85,1,29,1,1,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,3,191,40,34,57,23,0,0,0,54,60,59,0,0,0,0,0,0,63,0,0,0,1,1,1,1,1,1,1,8,3,15,0,0,yelicch01,0,1149,1167,0,2025-03-14,,12,11.767251191206785,10.134834372738595,10.344754714895096,8.947946795855959,12.043889181068874,11.656332162806383
MLB 2025 Live RP Kirby Yates LAD,72619,70,1,,,,2025,N,Los Angeles Dodgers,LAD,Yates,Kirby,Kirbs,The United States,39,25,3,1987,2,1,1,12,29,17,3,17,19,38,28,17,3,16,17,38,29,18,4,18,20,39,2,2,0,17,10,17,24,27,19,108,85,56,69,117,97,79,56,67,105,117,90,57,72,127,100,90,0,0,0,0,129,0,0,0,0,0,14,25,2,0.0,3,178,20,27,43,17,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,2,5,0,1,yateski01,26,249,152,0,2025-03-14,,12,61.900454295714894,63.035999535065656,57.22271820145436,59.47414008438022,61.71599814949607,65.11585707854282
MLB 2025 Live RF Mike Yastrzemski SF,72690,74,1,,,,2025,N,San Francisco Giants,SFG,Yastrzemski,Mike,,The United States,5,23,8,1990,2,2,9,0,67,100,85,87,66,71,66,97,81,81,64,70,68,102,87,89,67,72,3,2,0,53,20,72,62,57,66,1,22,3,1,64,1,22,3,1,64,1,22,3,1,64,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0.0,4,180,17,28,45,16,3,3,2,68,70,67,0,0,0,0,0,0,13,40,73,0,1,0,0,0,1,1,1,8,2,5,0,1,yastrmi01,0,130,135,0,2025-03-14,,12,9.660415637803345,7.91167589335478,8.74640294692806,7.2252049281442385,9.845032941818548,9.289816781246023
Theme Week - Hardware Heroes LF Carl Yastrzemski BOS 1967,73187,100,9,,,Theme Week,1967,N,Boston Red Sox,BOS,Yastrzemski,Carl,Yaz,The United States,8,22,8,1939,2,1,7,0,111,112,141,118,110,102,110,85,131,100,98,113,111,122,144,128,114,99,2,2,0,48,51,61,58,8,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0.0,3,180,74,75,73,75,0,0,0,103,79,91,0,0,78,0,0,0,128,112,0,0,1,0,0,0,1,1,0,3,5,200,0,0,yastrca01,125000,0,151473,0,2025-05-08,,12,2.6126236937386147,0.4747601853065945,2.52922548758451,0.5241819600727903,1.8434322358889814,0.6781072889771981
MLB 2025 Live RP Ryan Yarbrough NYY,73144,53,1,,,,2025,N,New York Yankees,NYY,Yarbrough,Ryan,Yarbitron,The United States,56,31,12,1991,1,2,1,12,26,14,1,23,31,19,27,15,1,24,33,20,26,14,1,23,31,19,0,0,0,17,20,7,23,39,35,61,68,89,46,114,66,74,92,49,124,59,67,89,46,110,53,64,0,87,73,0,0,0,0,0,0,0,32,66,3,0.0,3,196,20,15,55,21,2,2,2,9,24,31,49,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,1,0,1,yarbrry01,6,38,38,0,2025-04-09,,12,54.98300641419033,55.73662446582309,52.07468691949374,53.92546850690672,58.540703982209024,61.698451995968774
