POS,#,Name,Inf,TM,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON.1,PBABIP,HRR,STU vL,MOV vL,CON vL.1,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR.1,PBABIP vR,HRR vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,SR,STE,RUN,PA,AB,AVG,OBP,SLG,RC,wOBA,OPS,BABIP.1,WPA,wRC,WAR,BatR,wSB,UBR,BsR,SV,BS,IP,ER,ERA,FIP,WPA.1,WAR.1,rWAR,SIERA,Predicted_XGB
SP,62,Logan Webb,,San Francisco,MLB,MLB,11/18/1996,28,USA,6' 1',220 lbs,Right,Right,3.5 Stars,3.5 Stars,1,1,13,1,1,1,1,1,13,1,1,1,1,1,13,1,1,1,58,8,Normal,Spray,Spray,38,72,71,53,81,36,69,70,51,77,39,75,72,55,84,38.0,41.0,,38.0,44.0,,33.0,,,,,,5,EX GB,94.0,93-95,OTT,GB'er,78.0,41.0,1,1,2,25,20,32,3,26,16,48,21,16,19,26,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,224.1,77,3.09,3.37,2.5,4.0,5.1,3.98,4.1350617
SP,57,Drew Rasmussen,,Tampa Bay,MLB,MLB,07/27/1995,30,USA,6' 1',205 lbs,Right,Right,3.5 Stars,3.5 Stars,7,1,3,1,1,11,1,8,4,1,1,12,1,6,3,1,1,11,82,7,Normal,Normal,Normal,47,62,70,61,63,41,55,63,56,54,53,74,76,68,76,86.0,,,61.0,51.0,,,,,,,,3,NEU,98.0,97-99,3/4,Power,53.0,51.0,1,1,1,20,12,23,5,14,27,5,20,16,12,26,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,217.0,85,3.53,2.95,0.8,5.4,3.6,2.88,5.2128973
SP,80,Kumar Rocker,,Texas,MLB,MLB,11/22/1999,25,USA,6' 5',245 lbs,Right,Right,3.5 Stars,3.5 Stars,1,3,10,1,1,1,4,1,10,1,1,1,2,1,10,1,1,1,50,33,Flyball,Pull,Pull,53,52,61,59,50,54,52,61,60,50,53,52,62,59,50,94.0,40.0,90.0,,52.0,,,,,,,,4,NEU,99.0,98-100,OTT,Power,39.0,55.0,1,1,4,23,45,61,32,3,3,3,21,15,11,35,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,179.0,67,3.37,3.36,1.2,3.8,4.1,2.55,3.736527
SP,45,Zack Wheeler,,Philadelphia,MLB,MLB,05/30/1990,35,USA,6' 4',195 lbs,Left,Right,3.5 Stars,3.5 Stars,2,1,1,1,1,3,1,1,1,1,1,2,2,3,1,1,1,4,38,22,Normal,Normal,Normal,49,59,59,63,57,45,55,58,60,54,53,61,59,67,60,63.0,44.0,49.0,57.0,49.0,,,,,,,,5,NEU,95.0,94-96,3/4,Normal,75.0,60.0,-,-,-,18,56,39,28,-,-,-,29,20,27,42,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,188.2,68,3.24,3.43,1.5,3.9,4.5,3.14,3.577585
SP,54,Max Fried,,New York,MLB,MLB,01/18/1994,31,USA,6' 4',190 lbs,Left,Left,3.5 Stars,3.5 Stars,15,13,15,1,2,19,13,13,14,1,1,16,14,15,15,1,3,19,69,14,Normal,Normal,Normal,45,62,55,62,63,48,68,57,66,69,44,61,54,61,61,47.0,44.0,51.0,46.0,46.0,,45.0,,,,,,6,EX GB,94.0,93-95,3/4,GB'er,69.0,87.0,-,-,-,29,52,61,16,30,41,49,19,16,18,25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,217.0,72,2.99,3.1,2.3,5.6,5.7,3.36,5.610763
SP,36,Logan Gilbert,,Seattle,MLB,MLB,05/05/1997,28,USA,6' 6',225 lbs,Right,Right,3.0 Stars,3.0 Stars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,47,2,Normal,Normal,Normal,49,49,65,65,46,47,47,63,62,44,50,50,67,67,47,77.0,,45.0,63.0,,43.0,46.0,,,,,,5,NEU,98.0,97-99,3/4,Power,80.0,44.0,1,1,1,26,35,67,12,17,14,11,17,9,16,25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,218.1,68,2.8,3.17,2.8,4.7,6.0,2.95,4.6451077
SP,68,George Kirby,,Seattle,MLB,MLB,02/04/1998,27,USA,6' 4',215 lbs,Right,Right,3.0 Stars,3.0 Stars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,45,Normal,Spray,Spray,45,50,100,55,49,42,47,98,52,46,48,51,100,57,50,56.0,,35.0,48.0,46.0,39.0,,,,,,,5,FB,96.0,96-98,3/4,Power,56.0,48.0,2,2,1,23,44,56,31,3,3,3,20,16,22,26,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,202.2,77,3.42,3.86,1.3,2.5,3.8,3.39,2.6140645
SP,40,Reynaldo Lopez,,Atlanta,MLB,MLB,01/04/1994,31,DOM,6' 1',200 lbs,Right,Right,3.0 Stars,3.0 Stars,13,16,8,1,13,13,16,14,8,1,14,14,16,13,7,1,13,13,51,20,Normal,Normal,Normal,54,53,50,57,52,52,52,50,56,51,55,53,50,57,52,90.0,45.0,58.0,83.0,,,,,,,,,4,NEU,97.0,96-98,OTT,Power,51.0,59.0,2,2,3,26,21,48,12,14,19,25,20,19,20,25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,182.2,79,3.89,4.11,0.1,1.8,2.0,3.76,1.8639923
SP,27,Aaron Nola,,Philadelphia,MLB,MLB,06/04/1993,32,USA,6' 2',195 lbs,Right,Right,3.0 Stars,3.0 Stars,14,12,1,1,25,20,12,15,1,1,25,20,12,14,1,1,25,19,40,11,Normal,Normal,Normal,46,50,76,56,49,46,49,74,55,48,47,51,79,56,50,50.0,40.0,69.0,,46.0,,42.0,,,,,,5,NEU,94.0,93-95,3/4,Normal,74.0,38.0,1,1,4,25,74,42,14,7,27,33,13,15,12,16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,181.2,72,3.57,3.12,0.1,4.5,3.9,3.06,4.417676
SP,55,Carlos Rodón,,New York,MLB,MLB,12/10/1992,32,USA,6' 3',235 lbs,Left,Left,3.0 Stars,3.0 Stars,1,1,3,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,28,10,Flyball,Normal,Normal,60,48,56,62,45,65,49,56,65,46,58,48,56,62,45,86.0,54.0,61.0,81.0,,,49.0,,,,,,5,EX FB,96.0,95-97,3/4,Power,66.0,42.0,1,1,4,21,37,55,11,28,17,59,17,17,9,25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,209.0,65,2.8,3.33,2.6,4.7,6.2,2.49,4.619285
SP,56,Spencer Schwellenbach,,Atlanta,MLB,MLB,05/31/2000,25,USA,6' 1',200 lbs,Right,Right,3.0 Stars,3.5 Stars,19,20,8,1,16,19,20,19,8,1,16,19,20,18,8,1,16,19,71,42,Normal,Pull,Pull,46,50,82,57,49,45,50,83,56,49,46,50,81,57,49,61.0,,43.0,46.0,,41.0,45.0,,,,,,5,FB,97.0,96-98,3/4,Power,52.0,47.0,1,1,1,30,62,66,57,58,62,59,62,64,53,69,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,179.2,69,3.46,4.03,1.5,1.9,3.3,2.95,1.9396894
SP,35,Justin Steele,,Chicago,MLB,MLB,07/11/1995,30,USA,6' 2',205 lbs,Left,Left,3.0 Stars,3.0 Stars,13,17,27,1,1,11,16,12,26,1,1,10,17,13,27,1,1,11,36,4,Normal,Normal,Normal,45,55,60,58,55,46,58,61,59,58,44,54,59,57,53,,41.0,39.0,52.0,46.0,,59.0,,,,,,5,NEU,94.0,93-95,OTT,Normal,55.0,64.0,1,1,1,20,26,44,25,20,12,13,6,12,2,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,222.0,83,3.36,3.79,1.1,3.3,4.4,3.3,3.3375201
SP,38,Kyle Bradish,,Baltimore,MLB,MLB,09/12/1996,29,USA,6' 4',220 lbs,Right,Right,3.0 Stars,3.0 Stars,5,6,1,1,1,5,7,6,1,1,1,6,6,5,1,1,1,4,34,12,Normal,Spray,Spray,48,57,48,60,57,46,53,47,58,52,51,60,49,61,60,,,49.0,63.0,67.0,,52.0,,,,,,4,NEU,96.0,95-97,OTT,Normal,51.0,50.0,1,1,5,23,42,56,15,18,28,29,15,15,11,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,62.2,13,1.87,3.63,1.1,1.0,1.9,3.58,1.6081599
SP,50,Kris Bubic,,Kansas City,MLB,MLB,08/19/1997,28,USA,6' 3',225 lbs,Left,Left,3.0 Stars,3.0 Stars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,74,24,Normal,Normal,Normal,48,50,58,47,51,53,55,60,51,57,46,49,57,47,50,58.0,46.0,62.0,45.0,45.0,,,,,,,,5,NEU,94.0,93-95,3/4,Normal,50.0,63.0,1,1,2,17,23,62,24,8,22,30,11,5,18,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,196.2,65,2.97,2.87,2.4,5.4,5.2,3.05,5.0615335
SP,54,Sonny Gray,,St. Louis,MLB,MLB,11/07/1989,35,USA,5' 10',195 lbs,Right,Right,3.0 Stars,3.0 Stars,5,10,1,1,1,1,10,8,1,1,1,3,9,5,1,1,1,1,36,26,Normal,Spray,Spray,47,49,59,56,48,46,49,58,55,47,49,50,59,57,49,46.0,43.0,46.0,52.0,49.0,,40.0,,,,,,6,FB,92.0,91-93,OTT,Normal,52.0,61.0,-,-,-,32,46,54,14,20,25,35,18,18,18,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,172.1,59,3.08,3.1,1.6,4.0,3.6,3.48,3.7019868
SP,22,Bryan Woo,,Seattle,MLB,MLB,01/30/2000,25,USA,6' 2',200 lbs,Switch,Right,3.0 Stars,3.0 Stars,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,83,12,Normal,Normal,Normal,44,51,82,74,48,40,48,79,66,45,47,55,86,81,50,60.0,36.0,,47.0,45.0,,,,,,,,4,FB,96.0,95-97,3/4,Power,58.0,45.0,1,1,3,31,24,36,13,10,18,27,20,4,17,33,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,204.1,64,2.82,3.46,2.8,3.6,5.5,3.2,3.6226904
SP,22,Sandy Alcantara,,Miami,MLB,MLB,09/07/1995,30,DOM,6' 5',200 lbs,Right,Right,3.0 Stars,3.0 Stars,11,14,1,1,13,9,15,11,1,1,13,10,14,11,1,1,12,8,39,3,Normal,Normal,Normal,42,60,72,58,61,38,53,67,54,53,44,66,76,60,68,61.0,39.0,,47.0,45.0,,,,,,,,4,EX GB,99.0,98-100,3/4,Power,72.0,53.0,1,1,1,23,25,65,23,6,22,22,14,11,16,16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,196.1,98,4.49,3.57,-1.4,3.5,1.6,3.89,3.4643822
SP,35,Clay Holmes,,New York,MLB,MLB,03/27/1993,32,USA,6' 5',225 lbs,Right,Right,3.0 Stars,3.0 Stars,15,22,4,1,1,11,23,16,5,1,1,11,22,15,3,1,1,10,57,48,Normal,Normal,Normal,40,60,57,38,79,38,56,55,35,73,41,63,58,39,84,43.0,34.0,17.0,41.0,45.0,,36.0,,,,,,6,EX GB,96.0,95-97,3/4,Power,51.0,57.0,-,-,-,26,16,43,16,15,20,45,17,17,18,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,189.1,84,3.99,3.56,-1.9,3.3,1.4,3.99,3.3630974
SP,59,José Soriano,,Los Angeles,MLB,MLB,10/20/1998,26,DOM,6' 3',220 lbs,Right,Right,3.0 Stars,3.0 Stars,13,17,6,1,25,11,17,14,7,1,26,12,17,13,6,1,24,11,27,5,Normal,Normal,Normal,53,65,41,59,67,49,60,41,56,62,58,69,42,61,72,70.0,,54.0,61.0,81.0,42.0,,,,,,,5,EX GB,99.0,98-100,3/4,Power,54.0,52.0,-,-,-,22,33,48,28,24,22,46,21,16,18,26,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,195.1,87,4.01,3.52,0.1,4.0,3.3,3.51,3.9926436
SP,18,Shota Imanaga,,Chicago,MLB,MLB,09/01/1993,32,JPN,5' 10',175 lbs,Left,Left,3.0 Stars,3.0 Stars,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,46,22,Normal,Normal,Normal,48,48,74,58,45,49,49,78,59,47,47,47,73,58,45,60.0,46.0,46.0,44.0,,49.0,,,,,,,5,EX FB,94.0,93-95,3/4,Normal,58.0,56.0,1,1,2,18,24,58,6,6,16,22,17,19,21,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,213.0,82,3.46,3.52,1.9,3.9,4.1,3.06,3.675985
SP,34,Kodai Senga,,New York,MLB,MLB,01/30/1993,32,JPN,6' 1',200 lbs,Left,Right,3.0 Stars,3.0 Stars,35,24,13,1,19,43,23,33,12,1,18,41,25,36,13,1,19,44,42,5,Normal,Normal,Normal,55,59,42,63,58,52,57,42,62,56,57,60,43,65,59,81.0,,,62.0,,,55.0,86.0,,,,,4,NEU,97.0,96-98,OTT,Power,59.0,56.0,4,4,6,39,34,59,28,31,24,26,19,20,23,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,195.2,85,3.91,4.01,-0.2,2.3,2.0,3.95,2.3704958
SP,45,Taj Bradley,,Tampa Bay,MLB,MLB,03/20/2001,24,USA,6' 2',190 lbs,Right,Right,3.0 Stars,4.0 Stars,11,4,1,1,1,15,5,11,2,1,1,17,4,11,1,1,1,15,47,36,Normal,Normal,Normal,55,50,55,59,48,57,50,55,60,48,53,49,55,58,48,86.0,,54.0,,,56.0,70.0,,,,,,4,FB,97.0,96-98,OTT,Power,65.0,45.0,1,1,4,25,31,46,3,34,42,48,15,15,12,22,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,187.0,88,4.24,3.83,-1.6,2.3,1.4,3.33,2.2954853
SP,58,Hunter Brown,,Houston,MLB,MLB,08/29/1998,27,USA,6' 2',215 lbs,Right,Right,3.0 Stars,3.0 Stars,3,2,12,1,1,4,2,3,12,1,1,5,2,3,12,1,1,4,14,14,Normal,Normal,Normal,51,51,49,55,50,48,49,48,54,48,53,53,50,57,52,73.0,44.0,45.0,44.0,50.0,,50.0,,,,,,6,NEU,97.0,96-98,3/4,Power,48.0,30.0,1,1,1,15,23,55,18,12,17,20,9,10,12,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,180.1,65,3.24,4.14,1.6,1.9,4.0,3.74,2.2031507
SP,24,Zach Eflin,,Baltimore,MLB,MLB,04/08/1994,31,USA,6' 6',220 lbs,Right,Right,3.0 Stars,3.0 Stars,12,18,6,1,1,7,18,13,7,1,1,9,17,12,6,1,1,6,50,22,Normal,Normal,Normal,35,49,93,54,48,32,47,90,52,46,36,50,96,56,49,37.0,19.0,25.0,30.0,35.0,,32.0,,,,,,6,NEU,94.0,93-95,3/4,Normal,63.0,55.0,-,-,-,16,24,61,9,-,-,-,12,17,10,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,187.0,72,3.47,3.2,1.1,4.2,3.9,3.53,4.1684217
SP,49,Pablo Lopez,,Minnesota,MLB,MLB,03/07/1996,29,VEN,6' 4',225 lbs,Left,Right,3.0 Stars,3.0 Stars,13,13,1,1,1,15,13,13,1,1,1,15,14,13,1,1,1,16,48,24,Normal,Normal,Normal,49,48,67,54,47,46,46,63,52,44,53,50,70,56,49,77.0,48.0,44.0,57.0,46.0,,,,,,,,5,NEU,96.0,95-97,3/4,Power,70.0,60.0,2,2,1,32,15,41,7,10,16,27,17,12,17,20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,175.0,81,4.17,3.76,0.3,2.5,2.1,3.26,2.435887
SP,61,Cristopher Sanchez,,Philadelphia,MLB,MLB,12/12/1996,28,DOM,6' 5',165 lbs,Left,Left,3.0 Stars,3.0 Stars,10,12,11,1,15,5,12,9,10,1,13,2,13,10,11,1,16,7,51,6,Normal,Normal,Normal,38,58,66,53,60,45,67,73,59,71,36,54,63,52,55,,44.0,,47.0,52.0,,,,,,,,3,GB,96.0,95-97,3/4,GB'er,69.0,67.0,1,2,1,27,21,49,14,13,20,33,20,9,5,47,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,171.0,60,3.16,3.74,1.7,2.8,4.2,4.0,3.0597267
SP,7,Kevin Gausman,,Milwaukee,MLB,MLB,01/06/1991,34,USA,6' 2',205 lbs,Left,Right,3.0 Stars,3.0 Stars,10,15,1,1,2,1,14,10,1,1,1,1,15,10,1,1,2,1,48,22,Normal,Normal,Normal,45,48,60,52,47,42,45,58,49,44,48,50,62,55,49,58.0,,,48.0,42.0,49.0,,,,,,,4,FB,95.0,94-96,3/4,Normal,69.0,45.0,-,-,-,11,28,29,17,18,23,52,17,16,11,25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,208.0,88,3.81,3.05,1.2,5.1,3.3,2.69,4.8255587
SP,21,Hunter Greene,,Cincinnati,MLB,MLB,08/06/1999,26,USA,6' 5',240 lbs,Right,Right,3.0 Stars,3.0 Stars,7,10,6,1,1,1,10,8,6,1,1,2,10,7,6,1,1,1,44,26,Normal,Spray,Spray,58,49,46,87,45,53,47,45,82,43,63,51,46,92,46,100.0,,39.0,91.0,,60.0,,,,,,,4,EX FB,99.0,98-100,3/4,Power,59.0,52.0,1,1,1,37,50,57,38,50,43,56,44,43,29,57,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,186.2,79,3.81,3.53,-0.2,4.3,3.7,3.18,4.1414013
