//Card Title,Card ID,Card Value,Card Type,Card Sub Type,Card Badge,Card Series,Year,Peak,Team,Franchise,LastName,FirstName,NickName,Nation,UniformNumber,DayOB,MonthOB,YearOB,Bats,Throws,Position,Pitcher Role,Contact,Gap,Power,Eye,Avoid Ks,BABIP,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vL,CON vR,GAP vR,POW vR,EYE vR,K vR,BA vR,GB Hitter Type,FB Hitter Type,BattedBallType,SPE,Steal Rate,STE,Baserunning,BUN,BFH,Stuff,Movement,Control,pHR,pBABIP,Stuff vL,Movement vL,Control vL,pHR vL,pBABIP vL,Stuff vR,Movement vR,Control vR,pHR vR,pBABIP vR,Fastball,Slider,Curveball,Changeup,Cutter,Sinker,Splitter,Forkball,Screwball,Circlechange,Knucklecurve,Knuckleball,Stamina,Hold,GB,Velocity,Arm Slot,Height,IF RNG,IF ERR,IF ARM,TDP,C ABI,C FRM,C ARM,OF RNG,OF ERR,OF ARM,Pos Rating P,Pos Rating C,Pos Rating 1B,Pos Rating 2B,Pos Rating 3B,Pos Rating SS,Pos Rating LF,Pos Rating CF,Pos Rating RF,LearnC,Learn1B,Learn2B,Learn3B,LearnSS,LearnLF,LearnCF,LearnRF,era,tier,MissionValue,limit,owned,brefid,Buy Order High,Sell Order Low,Last 10 Price,Last 10 Price(VAR),date,Unnamed: 121,Raw_Rating_C,Rating_C,Raw_Rating_1B,Rating_1B,Raw_Rating_2B,Rating_2B,Raw_Rating_3B,Rating_3B,Raw_Rating_SS,Rating_SS,Raw_Rating_LF,Rating_LF,Raw_Rating_CF,Rating_CF,Raw_Rating_RF,Rating_RF,Raw_Rating_All_Positions,Rating_All_Positions
Rivalry Week - Snapshot SP Geoff Zahn CAL 1984,73511,80,7,,,Rivalry Week,1984,N,California Angels,LAA,Zahn,Geoff,,The United States,38,19,12,1945,2,2,1,11,3,2,1,2,1,1,3,2,1,2,1,1,3,3,1,2,1,1,0,1,0,10,5,6,14,45,13,38,116,105,125,100,38,119,110,130,99,38,115,104,123,100,38,0,42,57,0,54,0,0,0,0,0,0,92,121,1,89-91,4,185,35,18,25,21,0,0,0,1,4,10,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,0,0,zahnge01,2500,5750,5775,0,2025-05-15,,1.7166570341112837,0.18394448282910328,2.154901460824863,0.21611547242588539,19.58139554490107,12.739185851123352,5.619570444323506,0.7753664690727587,15.235585065107518,8.400393855010277,1.967455944218487,0.027095441842014924,2.4653842512759274,0.05083341406083757,1.8166243448378088,0.1131488271763474,3.4995664830577664,0.6507462251377997
Rookie Sensation SP Pat Zachry CIN 1976,71556,88,3,,,,1976,N,Cincinnati Reds,CIN,Zachry,Pat,,The United States,40,24,4,1952,1,1,1,11,4,7,4,8,2,2,5,7,4,5,1,4,5,7,4,10,3,2,1,0,0,5,4,6,5,48,20,105,96,51,89,111,94,85,48,79,99,114,105,53,97,121,70,95,0,132,0,0,0,0,0,0,0,0,68,79,2,90-92,3,196,28,21,24,23,0,0,0,2,10,4,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,15,0,0,zachrpa01,0,1333,1344,5980,2025-03-14,,3.805960709098608,2.0742467783367364,5.077120539270614,2.4503594715313906,17.121367186817874,10.423205907425794,7.547960037956117,2.3806510404286914,14.341336777077641,7.587436975380077,4.347662368833176,2.0308143990251075,4.433348792671191,1.8042044471427479,4.137077151395967,2.095601652175077,5.687954009910728,2.5211697437276888
Unsung Heroes 2B Ralph Young DET 1921,70497,71,8,,,,1921,N,Detroit Tigers,DET,Young,Ralph,,The United States,63,19,9,1888,3,1,4,0,87,31,16,141,104,75,76,44,9,152,101,58,95,28,19,138,105,80,0,1,0,64,61,67,60,66,43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,1,2,90-92,3,165,40,58,22,48,0,0,0,7,3,10,0,0,0,36,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,5,0,0,youngra01,0,579,325,1708,2025-03-14,,39.3169662743798,34.20291057166617,55.150659011145905,40.73513547274416,51.02462797364445,42.34124122203445,61.40912744671961,47.21728639772336,51.04441721387922,40.954033416347045,43.90093906103486,35.32777953082135,41.40230712941793,34.74194255542537,41.34785950591643,33.88621613510879,57.41012869247258,46.728318053515316
Unsung Heroes 2B Pep Young PIT 1938,70491,59,8,,,,1938,N,Pittsburgh Pirates,PIT,Young,Pep,,The United States,26,29,8,1907,1,1,4,0,67,101,33,57,69,68,64,80,48,68,84,45,70,108,29,54,65,76,0,2,0,52,31,73,65,20,8,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,33,0,0,0,0,0,0,0,0,0,0,0,1,24,2,90-92,3,175,105,66,75,101,0,0,0,9,4,6,0,0,0,117,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,youngpe01,0,54,65,1190,2025-03-14,,35.27235363483876,30.54353800247275,50.32816274106773,37.04799461749331,80.09242328421607,69.70695459911295,60.72857576172324,46.65076232834328,71.01864040928457,59.11250503919839,43.02211547763737,34.58796324603916,39.032579326703654,32.63061788561084,39.96169764277262,32.7019642969639,52.84726773245004,42.82842265246863
Derek Jeter Mission - Hardware Heroes SS Michael Young TEX 2005,70319,84,9,,,Derek Jeter Mission,2005,N,Texas Rangers,TEX,Young,Michael,,The United States,10,19,10,1976,1,1,6,0,113,75,75,71,100,116,125,94,44,75,115,120,111,71,88,70,96,115,1,0,0,47,31,52,45,3,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,1,2,90-92,3,185,58,69,60,59,0,0,0,5,6,9,0,0,82,61,56,46,0,0,0,0,1,1,1,1,0,0,0,6,3,10,0,0,youngmi02,0,1988,1846,7150,2025-03-14,,62.8725794322362,55.51490564325666,84.41498678422288,63.10979218384523,71.66887105458332,61.77664844861022,87.48679716545736,68.92559730887471,76.55832611458169,64.14860705403379,76.12698115282117,62.45649021176387,63.18968169722947,54.15354812582957,64.91551187225437,54.02097555800578,82.85680008814566,68.4776892522909
All-Time Legend SP Matt Young SEA Peak,71345,69,4,,,,1983,Y,Seattle Mariners,SEA,Young,Matt,,The United States,40,9,8,1958,2,2,1,11,13,33,24,28,13,13,13,33,22,28,12,13,14,34,25,29,14,14,2,1,0,16,5,6,28,29,9,82,71,58,75,64,111,94,61,109,66,76,65,57,67,63,72,0,111,0,0,75,0,0,0,0,0,0,53,100,1,89-91,3,191,28,13,20,19,0,0,0,1,6,9,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,youngma01,0,40,39,891,2025-03-14,,16.306575999323776,13.38420715473526,21.493917753139822,15.002166736826464,23.69777254922242,16.614525967175652,21.628302466705296,14.101807665061255,22.21790320323177,14.747986175997982,17.886010011903924,13.427743480815677,12.900434546898609,9.348010539074288,16.197001169215476,12.398862451457827,19.640022594946885,14.446058226326047
MLB 2025 Live RF Jared Young NYM,72325,67,1,,,,2025,N,New York Mets,NYM,Young,Jared,,Canada,3,9,7,1995,2,1,9,0,67,86,77,85,66,71,65,82,74,79,63,70,69,87,79,88,68,72,2,2,0,67,31,70,67,64,33,1,20,1,1,60,1,20,1,1,59,1,21,1,1,62,9,0,0,0,0,0,0,0,0,0,0,0,1,0,4,80-83,3,185,44,55,53,48,1,1,4,54,60,51,0,0,13,0,0,0,12,0,50,0,1,1,1,1,1,1,1,8,1,2,0,1,youngja02,0,26,37,0,2025-03-14,,56.48745671541536,49.73795120948935,75.37293800516468,56.196503795154335,57.860214080613,48.776565544674405,71.7978575892374,55.86536677983589,61.5416989519773,50.497062484039475,71.64508745156472,58.68351687616722,66.08369812246235,56.731991213868646,70.058148104702,58.41452913433493,73.64791727435484,60.60682050372766
MLB 2025 Live CF Jacob Young WSH,72385,64,1,,,,2025,N,Washington Nationals,WSN,Young,Jacob,,The United States,1,27,7,1999,1,1,8,0,78,70,11,63,86,73,82,72,12,66,94,75,77,70,11,63,84,73,0,0,0,93,85,89,81,57,36,1,21,1,1,61,1,20,1,1,60,1,21,1,1,63,9,0,0,0,0,0,0,0,0,0,0,0,1,0,4,80-83,3,180,48,53,47,51,3,3,3,93,84,63,0,0,0,0,0,0,0,93,0,0,1,1,1,1,1,1,1,8,1,2,0,1,youngja03,0,26,28,0,2025-03-14,,30.81949841882593,26.5148070251804,40.682672783327966,29.67333259592628,49.35304073611406,40.76753476310661,49.13968574505847,37.00361094134144,47.69525209779508,37.90932328540954,50.922569577726705,41.238768607707115,64.26675869264733,55.1131770035052,55.212939128453286,45.73169137547825,50.697744059171974,40.99121622402276
All-Time Legend SP Irv Young BSN Peak,71344,66,4,,,,1905,Y,Boston Beaneaters,ATL,Young,Irv,Young Cy,The United States,32,21,7,1877,2,2,1,11,11,83,10,27,6,15,8,77,6,37,7,8,12,86,12,24,6,18,0,2,0,37,9,9,29,23,11,64,64,79,67,60,68,68,83,71,62,63,63,79,66,59,64,63,87,0,0,0,0,59,0,0,0,0,76,50,2,89-91,3,178,27,28,25,22,0,0,0,2,3,7,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,youngir01,0,41,46,602,2025-03-14,,11.099669390903207,8.673246449393572,13.901891760684395,9.197523738013924,20.233390888292345,13.353003221852752,19.734220399834765,12.525082334832943,18.021342019355195,10.932912296753898,14.519165241989047,10.593447000642419,10.355158208628913,7.080279739642914,12.817868024127616,9.511937955258913,17.060015233639497,12.24091567844101
Rod Carew Mission - Hardware Heroes 2B Eric Young COL 1996,70331,79,9,,,Rod Carew Mission,1996,N,Colorado Rockies,COL,Young,Eric,,The United States,21,18,5,1967,1,1,4,0,114,48,34,70,150,82,99,68,50,84,148,67,118,40,30,66,150,90,2,2,0,96,92,97,101,68,90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,0,0,0,0,0,0,0,0,0,0,0,1,1,2,89-91,3,175,86,53,67,76,0,0,0,73,62,69,0,0,0,86,0,0,88,0,0,0,0,1,0,0,1,0,0,5,2,5,0,0,younger01,109,995,600,2376,2025-03-14,,48.262407028765395,42.29631862659873,68.67994060526367,51.07923199747957,83.04167600741111,72.48351208609137,75.47545838912187,58.926779184857146,78.55990281965428,65.96823094851302,66.32688754636574,54.20651947882528,76.16208673073184,65.71139824797801,67.10853919581913,55.89456385103767,73.74898671577073,60.693204957082166
MLB 2025 Live RP Danny Young NYM,72330,70,1,,,,2025,N,New York Mets,NYM,Young,Danny,,The United States,16,27,5,1994,2,2,1,12,29,11,1,21,20,38,29,11,1,21,20,38,29,12,2,22,21,39,0,0,0,20,12,2,46,76,18,99,87,56,78,106,184,124,59,108,158,79,75,56,70,87,0,99,0,0,0,90,0,0,0,0,0,0,14,65,1,91-93,2,191,29,28,44,6,2,2,3,12,23,33,68,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,2,5,0,1,youngda02,0,213,209,0,2025-03-14,,9.42212742426096,7.155486504624667,13.087736918281786,8.575044545951364,23.043370983239203,15.998443271640255,18.255026250237346,11.293729731484948,22.923156065598366,15.389128210055373,13.356363986734738,9.614571011360722,15.602725274708794,11.755634348062705,12.647111409636002,9.366053957174836,14.618445939266323,10.154096696690639
Perfect Game SP Cy Young BOS 1904,69560,100,7,PG,,,1904,N,Boston Americans,BOS,Young,Cy,,The United States,3,29,3,1867,1,1,1,11,67,76,64,26,71,65,72,88,74,34,77,69,65,74,61,22,69,64,2,0,0,90,59,74,88,24,2,122,123,146,125,119,127,125,148,127,122,119,121,144,124,117,90,89,134,97,0,0,0,0,97,0,0,0,108,91,2,91-93,4,188,47,50,49,41,0,0,0,7,8,3,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,200,0,0,youngcy01,222222,0,207687,0,2025-05-07,,45.029019808286186,39.37090411730105,61.76091000659091,45.789141768195975,53.58478484730978,44.751486596908215,59.84106861346583,45.911958542650815,54.147807606846484,43.77531091154838,53.370044165113704,43.29911563360218,43.38439472639993,36.50789661835539,47.52650841442952,39.16487551949221,63.95679093290739,52.32377629503745
MLB 2025 Live SP Brandon Young BAL,73404,57,1,,,,2025,N,Baltimore Orioles,BAL,Young,Brandon,,The United States,32,19,8,1998,1,1,1,11,17,15,3,14,22,13,17,15,3,14,22,13,17,15,3,14,22,13,2,2,0,11,13,9,11,74,9,69,71,77,71,73,65,68,76,67,72,72,75,79,75,75,79,79,82,81,0,0,0,0,0,0,0,0,54,37,4,93-95,3,198,7,38,49,5,1,1,1,8,17,11,53,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,1,0,1,young-004bra,25,53,85,0,2025-05-05,,7.410226124315268,5.335214185597033,9.695758170861694,5.981635921178594,9.07275994957745,2.8458896236931706,12.888519055840225,6.826390128698459,13.137902251200753,6.493400352563037,9.200381101347908,6.1159577788860915,10.849584968988264,7.520792534136654,8.933253834724121,6.193161399214314,11.099578584469702,7.146506780166671
Unsung Heroes SP Masato Yoshii MON 2002,70395,60,8,,,,2002,N,Montreal Expos,WSN,Yoshii,Masato,,Japan,55,20,4,1965,1,1,1,11,4,5,1,4,2,1,4,8,1,4,2,1,4,4,2,5,2,1,1,0,0,12,4,11,18,40,52,48,71,87,69,76,47,77,60,79,74,48,66,119,61,77,0,0,51,47,0,60,0,58,0,0,0,0,58,88,2,89-91,3,188,27,20,23,23,0,0,0,9,9,2,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,1,yoshima01,40,49,48,611,2025-03-14,,2.464189949770239,0.860276604078165,3.02517095359155,0.8814982995247805,15.958219258338953,9.328166793320007,6.064394779663742,1.145659715231698,12.852592233661223,6.234026368076947,4.362274216548057,2.0431150280642547,5.964533022593073,3.1684231708975026,4.652018146872888,2.5355357151759366,5.272244190919508,2.1658609088852177
MLB 2025 Live LF Masataka Yoshida BOS,71822,69,1,,,,2025,N,Boston Red Sox,BOS,Yoshida,Masataka,,Japan,7,15,7,1993,2,1,7,0,88,89,69,64,101,77,82,85,65,60,91,76,92,91,71,66,105,78,0,0,0,36,12,16,34,49,34,1,20,1,1,60,1,20,1,1,59,1,20,1,1,60,5,0,0,0,0,0,0,0,0,0,0,0,1,0,3,75-80,4,173,36,38,27,36,0,0,0,54,56,49,0,0,0,0,0,0,60,0,0,0,1,1,1,0,1,1,1,8,1,2,0,1,yoshima02,0,26,32,0,2025-03-14,,55.7248980222586,49.048024481560596,76.08925452608894,56.74417864271791,55.23399117742703,46.30412267568364,73.28234910757836,57.101129168603215,59.518163867229426,48.65747633068706,72.25218434634178,59.19458664907933,70.19907775372768,60.39861593388521,69.03069069332237,57.53673242069408,70.13983165550874,57.60844577978071
Snapshot LF Tom York BL2 1884,70944,58,7,,,,1884,N,Baltimore Orioles,NYY,York,Tom,,The United States,3,13,7,1850,2,1,7,0,54,122,32,133,68,39,51,113,31,112,63,38,55,126,33,141,70,40,2,2,0,74,90,84,64,3,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,15,2,90-92,4,175,3,3,3,5,0,0,0,50,64,54,0,0,0,0,0,0,58,0,19,0,0,0,0,0,1,0,0,0,0,1,0,1,yorkto01,0,33,37,433,2025-03-14,,39.93675801366994,34.76366857039219,52.48674757483104,38.69838600907951,27.086878352978207,19.805180677629174,51.924683179896554,39.32197722384647,30.385419916437208,22.173036903378485,50.76061349543599,41.10242981416338,48.14177136752144,40.74651282334503,53.42706626095316,44.20595092462394,55.213661841115375,44.85098910415431
Historical All-Star 1B Rudy York CWS 1947,71299,54,5,,,,1947,N,Chicago White Sox,CHW,York,Rudy,,The United States,3,17,8,1913,1,1,3,0,48,97,94,67,63,31,50,126,106,73,60,38,48,89,90,66,65,29,2,0,0,24,4,16,16,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,0,14,2,0,0,0,0,0,0,0,0,1,2,2,89-91,3,185,29,71,44,32,0,0,0,7,4,2,0,0,61,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,yorkru01,0,44,23,367,2025-03-14,,56.746939254649206,49.97271863244947,76.41106768332398,56.99022765413153,46.688242434123964,38.25877530058677,67.35021110866067,52.16293118399458,52.27856573647612,42.07599198798825,61.64833099028226,50.2679902963426,46.2637774995685,39.07330175723528,56.142100003103465,46.525509545631316,64.84747633738255,53.08504865093999
